id,eigenvector_centrality,eigenvector_centrality_weighted,pagerank,degree_centrality,core_number,closeness_centrality,clustering_coefficient,vertex_betweenes
VGlut-F-600617,0.00013206300484076903,1.0328742698023096e-07,2.502096036363519e-05,0.0038691523039043265,72,0.3548237559505768,0.00038188479594090073,6.9140209011772346e-06
Gad1-F-400696,0.0004929802025338147,1.1711911889561296e-06,7.422753308376427e-05,0.01130596452439576,138,0.3627002496856148,0.0002800783036128558,3.408029315163795e-05
Cha-F-600185,0.00010917102156658472,2.1537813927547882e-07,1.8865685141467737e-05,0.00427114215366062,75,0.3326202136016446,0.000446881275189326,8.920400308578308e-06
Cha-F-600196,0.0005271544516738133,3.8637038841252105e-07,7.305803700961157e-05,0.01678307622732526,150,0.37872761527775134,0.00021540859277596576,4.3671615804300845e-05
Gad1-F-100079,0.0001055361956427593,8.285948745593116e-08,1.8715207286007464e-05,0.0019094517863423948,37,0.33263133263133265,0.0006641358051757651,9.470422140759611e-07
Gad1-F-400831,0.00017849743329980728,4.877787584619544e-07,3.5609492940176095e-05,0.009396512738053364,109,0.36114690137011163,0.000289360048349568,5.080446049183502e-05
Gad1-F-500765,8.204484302175528e-05,5.339739622075129e-06,6.178218966944493e-05,0.002411939098537762,34,0.3263207949365428,0.0014569707264675785,2.2020737182426485e-06
Gad1-F-400862,7.394849846287526e-05,1.0806360459472003e-07,8.994879331617078e-06,0.0012562182804884176,25,0.3297433433300747,0.00013933374459805295,5.230490788748626e-07
Gad1-F-600392,0.0003997333582872902,5.386522706904558e-07,4.406529573323629e-05,0.011808451836591126,150,0.35833123266952355,0.00022757665954476985,2.732389874538163e-05
VGlut-F-300053,8.410256555389205e-06,3.1018015279264706e-09,1.1358526888181778e-05,0.000502487312195367,10,0.30556280612323233,0.0005840943962580302,3.192734047648026e-08
Gad1-F-100709,0.00041464882701378915,1.252546739673963e-07,9.177500911361566e-05,0.01572785287171499,150,0.3536760916312712,0.0003139366839324932,1.595440073854653e-05
VGlut-F-800161,7.542102753803877e-05,1.8983630202454342e-08,8.871942242535017e-06,0.010351238631224561,148,0.3369510006433917,0.00035827069891833493,3.095965410807004e-06
VGlut-F-600544,0.0001397956200115448,3.1978600216609584e-07,1.595627490419025e-05,0.0017587055926837848,33,0.351105308657222,0.0004359251298568548,3.289185307763228e-05
Cha-F-600008,0.0002080217620921316,1.1480905048864886e-07,1.42638389448435e-05,0.0024621878297572987,49,0.34920774184491743,0.00021652443737959272,2.224147716178435e-06
Cha-F-000136,0.00020053554263164036,3.6071734382016804e-07,2.0213792240465865e-05,0.004170644691221546,76,0.34326865028029324,0.0002630402344895028,6.451875987477539e-06
Gad1-F-300534,0.0002462244272835255,1.9428477690515148e-07,2.3122059943125774e-05,0.006884076177076529,114,0.3501293126198561,0.00030943237878901757,4.884686026045615e-06
VGlut-F-000061,0.00019472000042604966,1.1686223925572738e-07,2.9378336118271547e-05,0.006080096477563942,86,0.35044992691989363,0.00038779405273234405,2.8179186789462098e-05
Trh-F-500205,8.807978913881627e-05,9.915586189359029e-08,1.1938083548737088e-05,0.0009044771619516607,18,0.3315783335277162,0.0003439418467868929,2.9891330555148917e-07
Cha-F-100216,9.568696429967843e-05,7.117199984967398e-08,1.3928372414537511e-05,0.003768654841465253,73,0.3415835636188874,0.0004686220917349644,4.133652234764324e-05
Cha-F-700031,0.00025450778115301733,3.0462729115493314e-07,1.472103696519292e-05,0.004371639616099694,81,0.34819960107778986,0.00026587661027227484,1.2311966676095936e-05
VGlut-F-600545,2.1826541386723487e-06,1.0265691823442174e-09,8.024548178495375e-06,0.0003014923873172202,6,0.2770106622866847,0.0012709337051765917,3.679586481076419e-08
Cha-F-400252,0.00025554922066835706,1.41493724464152e-07,2.7924598357587042e-05,0.002914426410733129,55,0.3616653945407626,0.0004691227790088419,1.6479132327415888e-06
Cha-F-000068,7.79022471347398e-05,5.301597159248288e-07,2.809457781473677e-05,0.002562685292196372,50,0.3403800434433099,0.0020767401541854492,1.0568275089629169e-05
Cha-F-700287,8.765300243078596e-05,6.630799264504885e-08,1.1195839693964809e-05,0.003768654841465253,72,0.32521162205444976,0.00032379914960788543,3.9595794077818645e-06
Gad1-F-300707,0.0005385870715295926,1.112260719891575e-06,0.00016712802722318205,0.013768152354153058,143,0.36473434378608216,0.0002825660412376155,5.564190304815078e-05
Cha-F-100299,0.00010058192460197729,1.6411135085385668e-07,2.6607825960002878e-05,0.00442188834731923,76,0.3329708205059564,0.0017305338050702748,9.193846489234795e-06
Gad1-F-300033,0.00044625267451091924,4.6500438047178777e-07,4.908554676941839e-05,0.012361187880006029,150,0.3627399157902411,0.0002239037098834837,4.832918928067233e-06
Gad1-F-300840,5.043293596026286e-05,5.640086844748513e-08,9.5063854296192e-06,0.001205969549268881,24,0.3186403227872422,0.0001497893273984857,4.135519616186177e-07
Cha-F-200233,0.0003380599065162748,3.5379237481540037e-07,3.556141018321484e-05,0.004773629465855987,82,0.3729223273681252,0.0003281648244302225,5.621361488665908e-06
VGlut-F-300034,2.3792303719893885e-06,2.2017142227931773e-10,1.0167997883047723e-05,0.0006532335058539772,13,0.2776793313706065,0.0022004576012902973,1.8768380102685038e-07
Gad1-F-900625,7.452600846236906e-06,2.0505836257077983e-09,9.18645044713585e-06,0.0003014923873172202,6,0.29605772091639393,0.00016068262612065973,3.8318197339495165e-08
Trh-F-600051,0.00014584938254663397,1.9267505668828046e-07,3.301190885960745e-05,0.0018089543239033215,34,0.3549693207762557,0.0004541714333288723,1.2096812107874006e-06
Gad1-F-300780,3.9550664200196615e-06,1.5444960287272479e-09,7.76690345106693e-06,0.001004974624390734,20,0.289250312490916,0.0005714526604438345,4.5609513782417465e-07
Gad1-F-900622,1.6003643560604224e-05,1.7453627682547562e-09,7.652715713506599e-06,0.0003014923873172202,5,0.3182021681430079,7.337911811239305e-05,5.02723081596764e-05
Gad1-F-600089,0.00010413740674330334,3.540252169555527e-08,3.1666695943967383e-05,0.0031656700668308124,58,0.3485899456997723,0.0005238596834640173,5.942222732956221e-05
Gad1-F-100571,8.803341923400305e-05,8.905325607571872e-08,1.090438945858175e-05,0.0031656700668308124,60,0.3195510453129516,0.0002915143132125663,4.786169596645064e-06
